Original Atom Name -> New Atom Name
CORE
C2 C001
C4 C002
H30 H003
H31 H004
O5 O005
C6 C006
C7 C007
Br8 Br0A
C9 C008
C10 C009
S25 S010
C26 C011
C27 C012
O1 O013
O3 O014
C11 C015
H32 H016
C12 C017
H33 H018
C13 C019
H34 H020
C24 C021
H41 H022
O28 O023
O29 O024
LP1 LP0B

SITE 1 site1_sub1 (from 23469)
N15 N025
H35 H026
C16 C027
C18 C028
C23 C029
H40 H030
C22 C031
H39 H032
C21 C033
H38 H034
C20 C035
H37 H036
C19 C037
H36 H038
O17 O039
C14 C040

SITE 1 site1_sub2 (from 20669(2qbr))
N15 N041
H34 H042
C16 C043
H36 H044
H35 H045
C17 C046
C22 C047
H41 H048
C21 C049
H40 H050
C20 C051
H39 H052
C19 C053
H38 H054
C18 C055
H37 H056
C14 C057

SITE 1 site1_sub3 (from 23472)
N15 N058
H37 H059
S16 S060
C19 C061
C25 C062
H41 H063
C24 C064
H40 H065
C22 C066
F23 F067
C21 C068
H39 H069
C20 C070
H38 H071
O18 O072
O17 O073
C14 C074

SITE 1 site1_sub4 (from 23473)
O15 O075
C16 C076
H35 H077
H34 H078
C17 C079
C22 C080
H40 H081
C21 C082
H39 H083
C20 C084
H38 H085
C19 C086
H37 H087
C18 C088
H36 H089
C14 C090


